date,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
2020-08-02,0,0,0,0,0,0,0,0,1,0
2020-08-03,1,0,0,2,0,0,0,0,0,0
2020-08-04,1,0,0,0,0,0,0,0,4,0
2020-08-05,1,0,0,1,0,1,0,0,2,0
2020-08-06,0,0,0,1,0,0,0,0,0,0
2020-08-07,1,0,0,0,0,0,0,0,0,0
2020-08-08,2,0,0,0,0,0,0,0,0,0
2020-08-09,1,2,0,1,0,0,0,0,0,0
2020-08-10,0,0,0,1,0,0,0,0,2,0
2020-08-11,4,0,0,1,0,0,0,0,1,0
2020-08-12,1,0,0,0,0,1,0,0,0,0
2020-08-13,0,0,0,0,0,0,0,0,0,0
2020-08-14,2,0,0,3,0,1,0,0,0,0
2020-08-15,0,0,0,0,0,0,0,0,0,0
2020-08-16,2,0,0,0,0,0,0,0,2,0
2020-08-17,1,1,0,0,0,0,0,0,0,0
2020-08-18,1,0,0,0,0,1,0,0,0,0
2020-08-19,0,0,0,1,0,0,0,1,0,0
2020-08-20,4,0,0,2,0,1,0,0,0,0
2020-08-21,3,0,3,0,0,1,0,1,2,0
2020-08-22,1,0,0,1,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,0,0,2,0
2020-08-24,1,0,0,1,0,0,0,0,0,0
2020-08-25,0,0,0,0,0,0,0,1,3,0
2020-08-26,0,0,0,0,0,2,0,0,7,0
2020-08-27,1,0,0,0,0,1,0,0,0,0
2020-08-28,2,0,0,1,0,1,0,0,1,0
2020-08-29,0,0,0,0,0,0,0,0,0,0
2020-08-30,0,0,0,0,0,0,0,0,0,0
2020-08-31,0,0,0,0,0,0,0,0,0,0
2020-09-01,9,1,0,1,0,2,0,0,1,0
2020-09-02,2,0,0,1,0,2,0,0,0,0
2020-09-03,1,0,0,3,0,1,0,0,0,0
2020-09-04,1,1,0,0,0,0,0,0,0,0
2020-09-05,1,0,0,1,0,0,0,0,0,0
2020-09-06,0,0,0,0,0,0,0,0,0,0
2020-09-07,0,0,0,0,0,0,0,0,0,0
2020-09-08,2,0,1,6,0,0,0,1,0,0
2020-09-09,0,0,0,0,0,0,0,0,4,1
2020-09-10,0,0,0,1,0,1,0,1,1,0
2020-09-11,1,0,0,3,0,0,0,0,1,0
2020-09-12,3,0,0,0,0,1,0,0,2,0
2020-09-13,1,0,0,0,0,0,0,0,0,0
2020-09-14,1,0,1,0,0,0,0,0,0,0
2020-09-15,1,0,1,0,0,0,0,0,0,0
2020-09-16,2,0,0,0,0,0,0,0,2,0
2020-09-17,0,0,0,1,0,0,0,0,0,0
2020-09-18,3,0,1,4,0,0,0,0,3,0
2020-09-19,4,0,0,0,0,0,0,0,0,1
2020-09-20,0,0,0,0,0,0,0,0,0,0
2020-09-21,2,0,0,0,0,4,0,0,4,0
2020-09-22,2,0,0,1,0,0,0,0,5,0
2020-09-23,1,0,0,2,0,2,0,0,1,0
2020-09-24,3,1,1,2,0,0,0,1,1,0
2020-09-25,2,0,1,1,0,1,0,0,1,0
2020-09-26,0,0,0,1,0,0,0,0,0,0
2020-09-27,0,0,0,0,0,0,0,0,2,0
2020-09-28,0,0,0,0,0,0,0,0,0,0
2020-09-29,1,0,0,0,0,0,0,0,0,0
2020-09-30,1,0,0,0,0,1,0,0,0,0
2020-10-01,4,0,0,0,0,1,1,0,0,0
2020-10-02,0,0,0,2,0,0,0,0,1,0
2020-10-03,0,0,0,0,0,0,0,1,0,0
2020-10-04,0,0,0,0,0,1,0,0,1,0
2020-10-05,0,0,0,0,0,1,0,0,1,0
2020-10-06,0,0,0,0,0,0,0,0,0,0
2020-10-07,0,0,0,0,0,0,0,0,1,0
2020-10-08,2,0,0,0,0,0,0,0,1,0
2020-10-09,1,0,0,2,0,0,0,0,0,0
2020-10-10,0,0,0,0,0,0,0,0,0,0
2020-10-11,0,0,0,0,0,0,0,0,1,0
2020-10-12,3,1,0,1,0,1,0,0,3,0
2020-10-13,2,0,0,2,0,1,0,0,1,0
2020-10-14,0,0,0,1,0,0,0,0,0,0
2020-10-15,1,0,0,0,0,0,0,0,0,0
2020-10-16,0,0,0,0,0,2,0,0,0,0
2020-10-17,1,0,0,0,0,1,0,0,1,0
2020-10-18,1,0,0,0,0,0,0,0,0,0
2020-10-19,2,0,1,0,0,0,0,0,0,0
2020-10-20,3,0,0,1,0,0,0,0,0,0
2020-10-21,3,0,0,1,0,0,0,0,1,0
2020-10-22,0,0,0,1,2,0,0,0,0,0
2020-10-23,1,0,0,1,0,1,0,2,0,0
2020-10-24,1,0,0,1,0,0,0,0,1,0
2020-10-25,0,0,0,1,0,0,0,0,0,0
2020-10-26,0,0,0,0,0,1,0,0,0,0
2020-10-27,0,0,0,0,0,1,0,0,0,0
2020-10-28,0,0,0,0,0,0,0,2,0,0
2020-10-29,3,0,1,3,0,0,0,0,0,0
2020-10-30,2,0,0,1,0,0,0,1,0,0
2020-10-31,0,0,0,0,0,0,0,0,2,0
2020-11-01,0,0,0,0,0,0,0,1,2,0
2020-11-02,1,1,0,2,0,0,0,0,0,1
2020-11-03,1,0,0,2,0,1,0,0,0,0
2020-11-04,0,0,0,0,0,0,0,0,0,0
2020-11-05,1,0,0,0,0,0,0,0,2,0
2020-11-06,0,0,1,2,0,1,0,0,2,0
2020-11-07,1,0,0,0,0,1,0,0,4,0
2020-11-08,3,0,0,0,0,0,0,0,0,0
2020-11-09,2,1,0,1,0,0,0,0,3,0
2020-11-10,0,0,0,0,0,0,0,0,0,0
2020-11-11,0,0,0,0,0,0,0,0,0,0
2020-11-12,3,0,0,1,0,0,0,0,0,0
2020-11-13,1,0,1,2,0,1,0,0,2,0
2020-11-14,0,1,0,1,0,1,0,0,0,0
2020-11-15,0,0,0,1,0,1,0,0,0,0
2020-11-16,1,0,0,0,0,0,0,0,0,0
2020-11-17,1,0,1,2,0,1,0,0,3,0
2020-11-18,1,1,0,2,0,0,0,1,1,0
2020-11-19,3,1,0,1,0,0,1,0,0,0
2020-11-20,4,0,0,0,0,0,0,0,0,1
2020-11-21,1,1,0,0,0,0,0,0,0,0
2020-11-22,1,0,0,0,0,0,0,0,1,0
2020-11-23,0,0,0,1,0,0,0,1,0,0
2020-11-24,1,0,0,0,0,0,0,1,2,0
2020-11-25,2,1,0,0,0,0,0,1,0,0
2020-11-26,0,0,0,0,0,1,0,0,0,0
2020-11-27,0,0,0,0,0,0,0,1,0,0
2020-11-28,0,0,0,0,0,0,0,0,0,0
2020-11-29,0,0,0,0,0,0,0,0,0,0
2020-11-30,1,0,0,0,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0,0,0,0,0
2020-12-02,1,0,0,1,0,0,0,0,0,0
2020-12-03,0,0,0,1,0,1,0,0,2,0
2020-12-04,5,0,0,3,0,0,0,0,2,0
2020-12-05,2,0,0,0,0,0,0,0,0,0
2020-12-06,3,0,0,1,0,0,0,0,0,0
2020-12-07,0,0,1,0,0,0,0,0,0,0
2020-12-08,0,2,0,1,0,0,0,0,0,0
2020-12-09,0,0,0,1,0,1,0,0,0,0
2020-12-10,3,0,0,0,0,0,0,0,0,0
2020-12-11,1,0,0,0,0,0,0,0,4,0
2020-12-12,1,0,2,1,0,0,0,0,1,0
2020-12-13,0,0,0,0,0,0,0,0,0,0
2020-12-14,0,0,0,0,0,0,0,0,0,0
2020-12-15,1,0,0,1,0,0,0,0,4,0
2020-12-16,3,0,0,0,0,0,0,0,0,0
2020-12-17,2,0,0,0,0,0,0,0,2,0
2020-12-18,0,0,0,1,0,2,0,0,0,0
2020-12-19,0,0,0,0,0,0,0,0,0,0
2020-12-20,0,0,0,0,0,0,0,0,0,0
2020-12-21,0,0,0,0,0,1,0,0,0,0
2020-12-22,0,0,0,1,0,0,0,0,0,0
2020-12-23,2,0,0,0,0,0,0,0,1,0
2020-12-24,2,0,0,2,0,0,0,0,0,0
2020-12-25,0,0,0,0,0,2,0,0,1,0
2020-12-26,1,0,0,0,0,0,0,0,0,0
2020-12-27,0,0,0,0,0,0,0,0,0,0
2020-12-28,3,0,0,0,0,1,0,0,4,0
2020-12-29,1,0,0,0,0,1,0,0,0,0
2020-12-30,0,0,0,0,0,0,0,0,1,0
2020-12-31,1,0,0,0,0,0,0,0,1,0
2021-01-01,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,2,0
2021-01-04,0,0,0,0,0,0,0,0,0,0
2021-01-05,0,0,0,0,0,0,0,0,0,0
2021-01-06,0,0,0,0,0,1,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0,1,0
2021-01-08,0,0,0,0,0,0,0,0,7,0
2021-01-09,2,0,0,1,0,0,0,0,1,0
2021-01-10,0,0,0,0,0,0,0,0,0,0
2021-01-11,0,0,0,0,0,1,0,0,2,0
2021-01-12,5,0,0,0,0,0,0,0,3,0
2021-01-13,0,0,0,0,0,1,0,0,0,0
2021-01-14,1,0,0,1,0,0,0,0,0,0
2021-01-15,0,0,0,0,0,0,0,0,0,0
2021-01-16,2,0,0,0,0,0,0,0,0,0
2021-01-17,4,0,2,2,0,5,0,0,0,0
2021-01-18,0,0,0,2,2,0,0,0,3,0
2021-01-19,2,0,0,0,0,1,0,1,0,0
2021-01-20,1,0,0,0,0,0,0,1,0,0
2021-01-21,0,1,0,1,0,0,0,0,1,0
2021-01-22,4,0,1,2,0,2,0,1,0,0
2021-01-23,1,0,0,0,0,2,0,0,1,0
2021-01-24,3,0,0,0,0,0,0,1,0,0
2021-01-25,1,0,0,1,0,1,0,0,0,0
2021-01-26,0,0,1,0,0,1,0,0,1,0
2021-01-27,2,1,0,0,0,1,0,0,1,0
2021-01-28,1,0,0,2,0,3,0,0,1,0
2021-01-29,0,0,0,0,0,1,0,1,4,0
2021-01-30,0,0,0,0,0,0,0,1,1,0
2021-01-31,4,0,0,3,0,1,0,0,3,0
2021-02-01,2,0,0,1,0,0,0,0,1,0
2021-02-02,1,0,2,8,0,0,0,1,0,0
2021-02-03,2,0,0,0,0,0,0,0,0,0
2021-02-04,5,0,0,0,0,0,0,0,0,0
2021-02-05,0,0,2,2,0,0,0,0,0,0
2021-02-06,1,0,0,4,0,0,0,0,0,0
2021-02-07,1,0,1,0,0,3,0,2,0,0
2021-02-08,7,0,0,0,1,1,0,1,2,0
2021-02-09,2,1,0,0,0,1,0,1,1,0
2021-02-10,6,0,1,4,0,1,0,0,6,1
2021-02-11,6,0,0,0,0,0,0,0,0,0
2021-02-12,2,0,2,4,0,1,0,0,4,0
2021-02-13,0,0,0,0,0,2,0,0,1,0
2021-02-14,0,0,0,1,0,2,0,0,1,0
2021-02-15,1,0,0,0,0,1,0,0,2,0
2021-02-16,2,0,0,3,0,0,0,1,0,0
2021-02-17,1,1,0,0,0,1,0,0,0,0
2021-02-18,1,0,1,0,0,0,0,0,0,0
2021-02-19,3,0,0,0,0,1,0,0,0,0
2021-02-20,2,0,0,3,0,0,0,1,2,0
2021-02-21,0,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,1,0,0,0,0,0,0,0
2021-02-23,1,0,0,0,0,0,0,0,0,0
2021-02-24,0,0,0,0,0,0,0,0,0,0
2021-02-25,1,0,0,2,0,1,0,0,0,0
2021-02-26,2,0,0,2,0,2,0,0,3,0
2021-02-27,1,0,0,1,0,0,0,0,0,0
2021-02-28,1,0,0,0,0,2,0,0,2,0
2021-03-01,3,0,0,0,0,0,0,0,0,0
2021-03-02,1,0,0,1,0,1,0,0,0,0
2021-03-03,1,0,1,0,0,1,0,0,0,0
2021-03-04,0,0,0,1,0,0,0,1,0,0
2021-03-05,4,0,1,0,0,1,0,0,0,0
2021-03-06,1,0,0,1,0,0,0,0,1,0
2021-03-07,2,0,0,0,0,0,0,0,1,0
2021-03-08,1,0,0,0,0,0,0,0,2,0
2021-03-09,0,0,0,0,0,0,0,0,0,0
2021-03-10,0,0,0,1,0,0,0,1,0,0
2021-03-11,2,0,0,0,0,1,0,1,2,0
2021-03-12,0,0,0,0,0,0,0,0,1,0
2021-03-13,0,0,0,0,0,0,0,0,0,0
2021-03-14,0,0,0,0,0,0,0,0,0,0
2021-03-15,0,0,0,2,0,0,0,0,1,0
2021-03-16,2,0,0,0,0,0,0,0,0,0
2021-03-17,1,0,0,1,0,1,0,0,1,0
2021-03-18,2,0,0,0,0,0,0,1,1,0
2021-03-19,0,0,0,1,0,0,0,2,6,0
2021-03-20,0,0,0,0,0,2,0,0,0,0
2021-03-21,0,3,0,2,0,0,0,0,1,0
2021-03-22,4,0,0,1,0,0,0,0,3,0
2021-03-23,3,0,0,0,0,0,0,0,4,0
2021-03-24,6,0,0,0,0,0,0,0,0,0
2021-03-25,2,0,0,0,0,1,0,0,2,0
2021-03-26,5,0,0,2,0,1,0,0,3,0
2021-03-27,1,0,0,0,0,0,0,0,2,0
2021-03-28,2,0,0,0,0,0,0,0,0,0
2021-03-29,3,0,0,1,0,1,0,0,2,0
2021-03-30,7,0,0,3,0,2,0,1,11,3
2021-03-31,1,0,1,3,0,0,0,0,1,1
2021-04-01,5,0,0,2,0,1,0,2,6,0
2021-04-02,2,0,0,0,0,1,0,1,2,0
2021-04-03,0,0,0,1,0,0,0,0,2,0
2021-04-04,0,0,0,0,0,1,0,0,0,0
2021-04-05,1,0,0,2,0,1,0,0,2,0
2021-04-06,1,0,0,1,0,1,0,0,1,0
2021-04-07,2,0,0,2,0,0,0,0,0,0
2021-04-08,1,0,0,0,0,1,0,1,0,0
2021-04-09,2,0,1,1,0,0,0,1,1,0
2021-04-10,1,0,1,0,0,0,0,1,3,0
2021-04-11,1,0,0,0,0,1,0,0,0,0
2021-04-12,4,0,0,2,0,0,0,1,2,0
2021-04-13,2,0,0,1,0,1,0,0,0,0
2021-04-14,4,0,0,2,0,2,0,0,1,0
2021-04-15,1,0,0,2,0,0,0,1,2,0
2021-04-16,2,0,0,1,0,0,0,1,2,0
2021-04-17,0,0,2,0,0,0,0,0,1,0
2021-04-18,3,0,0,0,0,0,0,0,0,0
2021-04-19,3,0,0,1,0,0,0,0,1,0
2021-04-20,1,0,0,1,0,0,0,1,1,0
2021-04-21,4,0,3,2,1,5,0,2,5,4
2021-04-22,3,0,2,2,0,5,0,3,1,0
2021-04-23,5,0,3,0,1,1,0,0,2,2
2021-04-24,3,0,0,1,0,0,0,0,0,0
2021-04-25,4,0,0,0,0,1,0,1,4,0
2021-04-26,2,0,0,1,0,0,1,1,0,0
2021-04-27,3,0,0,0,0,0,0,0,1,0
2021-04-28,1,0,0,2,0,0,0,1,0,0
2021-04-29,0,0,0,3,0,1,0,2,0,0
2021-04-30,2,0,0,4,0,0,0,1,3,0
2021-05-01,2,0,0,0,0,1,0,0,2,0
2021-05-02,1,0,0,2,0,0,0,0,0,0
2021-05-03,1,1,0,0,0,0,0,0,2,0
2021-05-04,1,0,0,0,0,1,0,0,0,0
2021-05-05,1,0,0,0,0,0,0,1,0,0
2021-05-06,1,0,0,0,0,1,0,0,1,0
2021-05-07,0,0,0,0,0,1,0,0,1,0
2021-05-08,0,0,0,2,0,0,0,0,1,0
2021-05-09,0,0,1,1,0,0,0,0,2,0
2021-05-10,0,0,0,1,0,0,0,1,0,0
2021-05-11,12,0,1,2,0,0,0,1,12,0
2021-05-12,4,0,1,4,0,0,0,0,0,0
2021-05-13,5,1,0,0,0,1,0,2,4,0
2021-05-14,3,0,1,1,0,1,0,1,1,0
2021-05-15,0,0,0,1,0,1,0,0,0,0
2021-05-16,1,0,0,0,0,1,0,1,0,0
2021-05-17,4,0,0,3,0,0,0,1,1,0
2021-05-18,6,0,0,1,0,0,0,1,3,0
2021-05-19,5,0,0,1,0,0,0,1,0,0
2021-05-20,1,0,0,1,0,2,0,1,0,0
2021-05-21,9,1,0,1,0,0,0,1,3,0
2021-05-22,3,1,0,0,1,0,0,0,1,0
2021-05-23,0,0,0,2,0,4,0,0,0,0
2021-05-24,4,0,0,1,0,0,0,2,1,0
2021-05-25,5,0,1,0,0,1,0,1,0,0
2021-05-26,4,1,0,1,0,1,0,1,2,0
2021-05-27,4,0,0,0,0,0,1,3,1,0
2021-05-28,2,0,0,3,0,2,0,0,4,0
2021-05-29,2,0,0,1,1,2,0,0,0,0
2021-05-30,14,0,0,3,0,1,0,0,6,0
2021-05-31,3,0,0,5,0,1,0,0,2,0
2021-06-01,2,0,0,3,0,0,0,2,1,0
2021-06-02,1,0,0,0,0,2,0,1,2,0
2021-06-03,4,1,0,2,0,2,0,1,1,0
2021-06-04,4,0,1,3,0,0,0,2,0,0
2021-06-05,2,0,0,0,0,0,0,0,2,0
2021-06-06,1,0,0,0,0,1,0,1,2,0
2021-06-07,3,0,0,3,0,1,0,0,0,0
2021-06-08,3,0,0,1,0,0,0,0,0,0
2021-06-09,4,0,0,2,0,0,0,0,4,0
2021-06-10,2,0,0,0,0,1,0,5,2,0
2021-06-11,4,0,0,1,0,2,0,0,0,0
2021-06-12,4,0,0,0,0,2,0,0,0,0
2021-06-13,3,0,0,0,0,1,0,1,0,0
2021-06-14,1,0,0,0,0,2,0,0,3,0
2021-06-15,5,0,1,2,0,2,0,2,1,0
2021-06-16,1,0,3,1,0,4,0,0,0,2
2021-06-17,1,1,1,3,0,2,0,1,3,0
2021-06-18,3,1,2,2,1,5,0,0,1,0
2021-06-19,4,2,0,1,0,0,0,0,9,0
2021-06-20,1,0,0,0,0,2,0,0,0,0
2021-06-21,2,0,0,2,0,3,0,0,1,0
2021-06-22,2,0,0,0,1,0,0,0,2,0
2021-06-23,5,0,1,1,0,2,0,1,2,0
2021-06-24,2,0,1,5,0,2,0,2,6,0
2021-06-25,9,1,0,1,1,1,0,0,1,0
2021-06-26,3,2,0,4,0,1,0,1,2,0
2021-06-27,1,0,0,0,0,3,0,1,0,0
2021-06-28,0,0,0,0,0,4,0,0,2,0
2021-06-29,0,1,0,0,0,0,0,0,0,0
2021-06-30,1,0,0,1,1,4,0,1,2,0
2021-07-01,4,0,0,1,0,0,0,1,0,0
2021-07-02,3,0,0,2,0,0,0,0,3,0
2021-07-03,2,0,0,0,0,2,0,0,0,0
2021-07-04,1,0,0,1,0,1,0,0,2,0
2021-07-05,2,0,0,0,0,0,0,1,0,2
2021-07-06,2,0,0,1,0,1,0,0,8,0
2021-07-07,0,0,0,1,0,2,0,1,1,0
2021-07-08,2,0,0,2,0,0,0,1,4,0
2021-07-09,0,0,0,2,0,0,0,1,4,0
2021-07-10,2,0,0,0,0,0,0,0,4,0
2021-07-11,2,0,0,1,0,2,0,0,2,1
2021-07-12,3,0,0,0,1,0,0,0,1,0
2021-07-13,8,1,0,2,0,1,0,1,5,0
2021-07-14,2,0,0,5,0,3,0,0,0,0
2021-07-15,4,0,0,3,0,3,0,1,3,0
2021-07-16,6,1,2,1,1,1,1,0,14,0
2021-07-17,0,0,0,0,0,0,0,0,3,1
2021-07-18,2,0,0,0,0,0,0,0,0,0
2021-07-19,3,0,0,3,0,0,0,0,1,0
2021-07-20,3,0,0,3,0,4,1,1,2,0
2021-07-21,3,0,3,2,1,1,0,1,0,0
2021-07-22,4,0,2,6,0,1,0,1,4,0
2021-07-23,2,0,2,3,0,0,0,1,1,0
2021-07-24,5,0,0,3,0,0,0,0,7,0
2021-07-25,1,0,0,2,0,1,0,0,4,0
2021-07-26,7,0,2,3,0,4,0,1,1,0
2021-07-27,5,0,0,1,0,0,0,3,1,0
2021-07-28,5,1,1,1,1,1,0,0,4,0
2021-07-29,2,0,2,2,0,0,0,0,3,1
2021-07-30,8,0,1,4,0,2,0,2,4,0
2021-07-31,4,0,0,3,0,1,0,0,2,0
2021-08-01,2,0,3,0,0,1,0,0,1,1
2021-08-02,3,0,1,6,0,3,0,0,5,0
2021-08-03,6,0,0,1,0,1,0,1,3,0
2021-08-04,5,0,1,3,0,1,0,0,9,0
2021-08-05,4,0,0,0,0,4,0,0,1,0
2021-08-06,2,0,0,7,0,1,0,0,1,0
2021-08-07,0,0,0,1,0,0,0,2,0,0
2021-08-08,3,0,0,0,0,0,0,0,1,0
2021-08-09,3,0,0,2,0,1,0,0,3,0
2021-08-10,2,0,0,2,0,1,0,1,0,0
2021-08-11,3,0,1,3,0,1,1,0,3,0
2021-08-12,3,0,0,5,0,3,0,0,11,0
2021-08-13,2,0,1,3,0,0,0,1,6,0
2021-08-14,1,0,0,0,0,0,0,0,1,0
2021-08-15,2,0,3,3,0,1,0,0,0,0
2021-08-16,4,0,0,2,0,0,0,2,0,0
2021-08-17,3,0,5,1,0,1,0,1,12,0
2021-08-18,1,0,1,3,0,1,0,2,4,0
2021-08-19,5,0,1,1,0,1,0,2,0,0
2021-08-20,5,0,0,2,0,0,0,0,1,0
2021-08-21,3,0,0,3,0,1,0,1,5,0
2021-08-22,0,0,0,2,0,0,0,0,0,0
2021-08-23,0,0,0,1,0,1,0,0,2,0
2021-08-24,1,0,0,1,0,1,0,0,1,0
2021-08-25,7,0,0,1,0,0,0,1,0,0
2021-08-26,4,0,0,0,0,0,0,1,0,0
2021-08-27,0,0,0,2,0,0,0,0,6,1
2021-08-28,0,1,1,0,0,1,0,0,0,0
2021-08-29,1,0,0,0,0,1,0,0,1,0
2021-08-30,0,0,1,0,0,2,0,0,0,0
2021-08-31,1,1,0,0,0,1,0,0,1,0
2021-09-01,1,0,0,1,0,0,0,0,0,1
2021-09-02,4,0,0,1,0,1,0,0,1,0
2021-09-03,4,1,0,3,0,0,0,0,1,0
2021-09-04,4,0,2,0,0,5,0,1,2,0
2021-09-05,2,0,0,0,0,3,0,1,1,0
2021-09-06,0,0,0,0,0,2,0,2,0,0
2021-09-07,6,0,0,2,0,0,0,0,1,0
2021-09-08,0,0,1,1,0,0,0,0,9,0
2021-09-09,1,0,0,2,0,2,0,0,0,0
2021-09-10,5,0,0,1,0,1,0,0,1,0
2021-09-11,1,0,0,1,0,1,0,0,1,0
2021-09-12,1,0,0,0,0,1,0,0,6,1
2021-09-13,2,1,0,3,0,2,0,1,0,0
2021-09-14,1,0,0,2,0,1,0,1,1,0
2021-09-15,1,0,0,2,0,3,0,0,1,0
2021-09-16,5,2,0,2,0,1,0,0,0,0
2021-09-17,5,0,0,1,0,0,0,0,0,0
2021-09-18,0,0,0,0,0,1,0,0,1,0
2021-09-19,1,0,0,0,0,0,0,0,0,0
2021-09-20,8,0,1,3,1,0,0,1,19,1
2021-09-21,3,0,0,0,0,1,0,0,3,0
2021-09-22,2,0,0,1,0,0,0,0,2,1
2021-09-23,2,0,0,1,1,1,0,2,9,0
2021-09-24,1,0,0,0,0,1,0,0,2,0
2021-09-25,3,0,0,0,0,1,0,0,0,0
2021-09-26,0,0,0,0,0,0,0,0,0,0
2021-09-27,0,0,0,1,0,1,0,1,0,0
2021-09-28,0,0,0,2,0,1,0,0,1,0
2021-09-29,4,0,2,2,0,6,0,3,1,0
2021-09-30,7,1,2,1,0,7,0,1,3,0
2021-10-01,2,0,2,1,0,1,0,2,3,1
2021-10-02,2,0,0,0,0,3,0,1,0,0
2021-10-03,3,0,0,1,0,0,0,0,2,0
2021-10-04,2,0,0,1,0,0,0,0,1,0
2021-10-05,1,0,0,0,0,0,0,0,3,0
2021-10-06,6,0,0,3,0,0,0,0,0,0
2021-10-07,2,0,0,2,0,0,1,2,1,0
2021-10-08,1,0,0,1,0,0,0,0,1,0
2021-10-09,5,0,0,1,0,0,0,0,1,0
2021-10-10,2,0,0,0,0,2,0,1,6,0
2021-10-11,1,0,0,3,0,0,0,0,1,0
2021-10-12,1,0,0,5,0,3,0,0,0,1
2021-10-13,8,0,0,0,0,1,0,0,0,0
2021-10-14,4,0,0,2,0,1,0,0,0,1
2021-10-15,1,0,0,2,0,1,0,1,3,0
2021-10-16,0,0,0,1,0,0,0,0,2,0
2021-10-17,1,0,0,0,0,0,0,0,0,0
2021-10-18,15,0,3,1,0,2,0,2,2,2
2021-10-19,2,0,5,1,0,7,0,3,4,3
2021-10-20,5,0,2,5,1,4,0,2,1,2
2021-10-21,1,0,6,3,0,3,0,1,2,0
2021-10-22,0,0,0,2,0,2,0,0,5,0
2021-10-23,0,0,0,0,0,0,0,0,3,0
2021-10-24,1,0,0,0,0,0,0,0,3,0
2021-10-25,2,0,1,0,0,2,0,0,10,0
2021-10-26,6,0,0,4,0,0,0,0,0,0
2021-10-27,0,1,0,8,0,1,0,0,0,0
2021-10-28,2,0,0,1,0,2,0,0,2,0
2021-10-29,5,0,6,1,0,6,0,0,1,0
2021-10-30,6,0,2,0,0,1,0,3,3,0
2021-10-31,7,0,2,0,0,1,0,0,0,0
2021-11-01,4,0,2,1,0,3,0,1,0,0
2021-11-02,2,1,5,3,0,13,0,1,1,0
2021-11-03,1,1,7,2,0,10,0,0,7,1
2021-11-04,2,0,0,0,0,0,0,0,1,0
2021-11-05,3,0,1,2,0,0,0,1,1,0
2021-11-06,3,0,1,0,0,1,1,2,1,0
2021-11-07,1,0,1,3,0,1,0,1,2,0
